Course,URL,Title,Distribution Group,Analyzing Diversity,Credits
ANTH 458,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=458&p_subj=ANTH,HUMAN OSTEOLOGY,,,3
ANTH 460,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=460&p_subj=ANTH,ADVANCED ARCHAEOLOGICAL THEORY,,,3
ANTH 463,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=463&p_subj=ANTH,WEST AFRICAN PREHISTORY,Distribution Group II,,3
ANTH 483,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=483&p_subj=ANTH,DOCUM & ETHNOGRAPH FILM,,,4
ANTH 490,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=490&p_subj=ANTH,DIRECTED HONORS RESEARCH,,,1 TO 3
ANTH 491,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=491&p_subj=ANTH,DIRECTED HONORS RESEARCH,,,3
ANTH 495,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=495&p_subj=ANTH,ANTHROPOLOGY CAPSTONE,,,3
ANTH 500,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=500&p_subj=ANTH,LINGUISTIC ANALYSIS,,,3
ANTH 501,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=501&p_subj=ANTH,PHONETICS,,,3
ANTH 505,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=505&p_subj=ANTH,HISTORICAL LINGUISTICS,,,3
ANTH 506,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=506&p_subj=ANTH,HIST OF ANTHROPOLOGICAL IDEAS,,,3
ANTH 507,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=507&p_subj=ANTH,ANTHRO FROM 2ND WW-PRESENT,,,3
ANTH 508,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=508&p_subj=ANTH,THE HISTORICAL IMAGINATION,,,5
ANTH 509,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=509&p_subj=ANTH,GLOBAL CULTURES,,,3
ANTH 511,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=511&p_subj=ANTH,MASCULINITIES,,,3
ANTH 512,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=512&p_subj=ANTH,AFRICAN PREHISTORY,,,3
ANTH 513,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=513&p_subj=ANTH,LANGUAGE AND CULTURE,,,3
ANTH 519,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=519&p_subj=ANTH,SYMBOLISM AND POWER,,,3
ANTH 522,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=522&p_subj=ANTH,CULTURES AND IDENTITIES,,,3
ANTH 523,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=523&p_subj=ANTH,INTRODUCTION TO PHONOLOGY,,,3
